Fly,Axe
Paths,Lucky
DicFormsPaths,MarTruthLucky
_DicFormsPaths,_MarTruthLucky
DicALLUIForms,MarALLUITruth
_DicALLUIForms,_MarALLUITruth
Sta,Axe
StaCurrentUIForms,StaPrecedeUITruth
_StaCurrentUIForms,_StaPrecedeUITruth
DicCurrentShowUIForms,MarPrecedeKnotUITruth
_DicCurrentShowUIForms,_MarPrecedeKnotUITruth
Wait,Fine
WaitUIForms,FineUITruth
_WaitUIForms,_FineUITruth
Transfrom,Petroleum
TraCanvasTransfrom,BidSphereTransfrom
_TraCanvasTransfrom,_BidSphereTransfrom
TraNormal,BidBreast
_TraNormal,_BidBreast
Fixed,Setup
TraFixed,BidSetup
_TraFixed,_BidSetup
Pop,Lot
TraPopUp,BidLotOf
_TraPopUp,_BidLotOf
Top,Top
_Top,_Top
TraUIScripts,BidUIPortend
_TraUIScripts,_BidUIPortend
TraUICamera,BidUIRefuge
_TraUICamera,_BidUIRefuge
PanelName,DwarfOver
PanelNameList,DwarfOverPeak
uiFormName,SoEddyOver
Params,Advent
uiFormParams,SoEddyAdvent
Clear,Cedar
Reverse,Earning
IsClearReverseChange,IDCedarEarningHalite
gOSet,gOOld
Sets,Pure
levelSets,ScorePure
skipLevels,BardValley
test,Coil
testMode,CoilSpur
testLevel,CoilDelta
Layers,Theory
MaxLayersCount,StyTheoryPulse
instance,Statuary
_instance,_Statuary
Grounds,Connect
backGrounds,WashConnect
gridCellPrefab,MoteLimeDismal
mahjongTilePrefab,BookletTrimDismal
row,Boy
column,Degree
ChangeEvent,HaliteAnvil
list,Last
Story,Widen
Page,Norm
levelStartStoryPage,ScoreVaultWidenNorm
levelWinStoryPage,ScoreFanWidenNorm
hard,Sick
hardFlag,SickThem
dist,Test
distX,TestX
distY,TestY
scale,Climb
backGroundNumber,WashAbsorbGallop
fill,Gulf
fillType,GulfLieu
PauseButton,EndowSeaman
countGroup,LyricSharp
countText,LyricPity
background,Inadequate
backgroundSprites,InadequateBroadly
ScoreGroup,RouteSharp
Amount,Active
scoreAmountText,BiomeActivePity
showTargetScore,DullMildlyRoute
Separator,Depletion
targetScoreSeparator,MaracaRouteDepletion
Only,Anti
If,At
showOnlyIfTarget,DullAntiIfMildly
Edit,Hard
showTargetInEditMode,DullMildlyIDHardSpur
childs,Botany
avatars,Service
save,Soup
saveKey,SoupAie
loaded,Influx
avatar,Digest
avatarIndex,DigestMoody
_avatarIndex,_DigestMoody
Unity,Oasis
ChangeUnityEvent,HaliteOasisAnvil
LoadUnityEvent,WideOasisAnvil
LoadEvent,WideAnvil
anim,Flap
Delay,Dusty
animDelay,FlapDusty
Money,Balmy
GetMoneyEvent,HowBalmyAnvil
Pay,Bag
PayOutEvent,BagItsAnvil
Animated,Adjacent
AnimatedUpdateEvent,AdjacentMildlyAnvil
StartAnimatedUpdateEvent,VaultAdjacentMildlyAnvil
BeginStartEvent,RoughVaultAnvil
EndStartEvent,VanVaultAnvil
coins,Valse
amount,Assign
amountTween,AssignWeigh
def,Aid
defCount,AidPulse
Coins,Gland
defFBCoinsCount,AidFBGlandPulse
Fb,On
saveFbCoinsKey,SoupFbGlandAie
_count,_Lyric
Passed,Talbot
ChangePassedEvent,HaliteTalbotAnvil
PassLevelEvent,PlusDeltaAnvil
StartLevelEvent,VaultDeltaAnvil
Gui,Rat
UpdateGuiLevelNumberEvent,MildlyRatDeltaGallopAnvil
levels,Cobalt
levelsStars,CobaltHeave
currentLevelCache,ProduceDeltaMoose
_currentLevelCache,_ProduceDeltaMoose
themes,Adjoin
theme,Needy
themeIndex,NeedyMoody
_themeIndex,_NeedyMoody
get,End
getFreePU,EndBoldPU
Apply,Preen
ApplyHintEvent,PreenPackAnvil
Hints,Elect
GetHintsEvent,HowElectAnvil
Consumption,Independent
ConsumptionHintsEvent,IndependentElectAnvil
Holder,Misery
HintHolder,PackMisery
hints,Scent
Full,Peck
defFullName,AidPeckOver
full,Cope
fullName,CopeOver
_fullName,_CopeOver
Best,Peak
Result,Debris
saveBestResult,SoupBestDebris
levelsScore,CobaltRoute
scriptable,Allocation
ApplyShuffleEvent,PreenSeminarAnvil
Shuffles,Usefully
GetShufflesEvent,HowUsefullyAnvil
ConsumptionShufflesEvent,IndependentUsefullyAnvil
ShuffleHolder,SeminarMisery
shuffles,Stocking
simple,Maraca
simpleSprites,simpleBroadly
groups,Unreal
themeName,NeedyOver
collection,Reasonable
rend,Pipe
rendTM,PipeTM
rendT,PipeT
rendS,PipeS
rendI,PipeI
gameObject,GritScreen
period,Unsure
useTM,ArmTM
useT,ArmT
useS,ArmS
useI,ArmI
c,c
sB,sB
X,X
Y,Y
scene,Shade
sceneNumber,ShadeGallop
levelNumber,ScoreGallop
nextLevel,PearDelta
default,Partner
Behavior,Proposal
defaultBehavior,PartnerProposal
key,Fir
textValue,WellQuery
int,Ion
intValue,IonQuery
float,Ought
floatValue,OughtQuery
decimal,Earthen
decimalValue,EarthenQuery
normal,Hopper
normalSprite,HopperCorpse
pressed,Bromine
pressedSprite,BromineCorpse
can,Jay
canFixed,JaySetup
interactable,Significance
click,Stuff
clickEvent,StuffAnvil
clickEventAction,StuffAnvilEndear
pDown,pMust
sortingLayerID,OctopusAgainID
targetFrameRate,MaracaDiverLast
defaultFrameRate,PartnerDiverLast
mypageview,Excavation
rect,Berg
posList,OurPeak
Drag,Slay
isDrag,ItSlay
Move,Fine
stopMove,TreeMove
Horizontal,Reportedly
targetHorizontal,MaracaReportedly
startDragHorizontal,InferSlayReportedly
smooting,Wildlife
sensitivity,Acquisition
OnPageChange,OrNormHalite
currentPageIndex,ProduceNormMoody
itemCell,SeepLime
scrollRect,ShelveTear
content,Bluntly
spacing,Figural
totalWidth,ScourMedia
totalHeight,ScourWeldon
visible,Recruit
visibleCount,RecruitPulse
Clac,Nail
isClac,ItNail
startIndex,InferMoody
lastIndex,ZoneMoody
itemHeight,SeepWeldon
itemList,SeepPeak
visibleList,RecruitPeak
all,Cow
allList,CowPeak
themeButtonPrefab,NeedySeamanDismal
buttons,Flatten
buttonsContainer,FlattenGrievance
NextLevelNumber,RageDeltaGallop
ScoreCount,RoutePulse
greeting,Modulate
greetingText,ModulatePity
exceptional,Immigration
good,Fail
ts,Go
old,Ape
oldCount,ApePulse
names,Belle
Varname,Migrate
culture,Turbine
cultureName,TurbineOver
fps,Nss
fpsText,fpsPity
delta,Scene
deltaTime,SceneSlit
clickFirstEvent,StuffAfterAnvil
double,Detect
doubleValue,DetectQuery
cam,Nor
Prefabs,Smuggle
popUpPrefabs,SkyOfSmuggle
MessageWindowPrefab,OutdoorPurelyDismal
Popups,Entity
PopupsList,EntityPeak
win,Sex
Options,Printer
winOptions,SexPrinter
gui,Ice
guiPanel,IceDwarf
guiMask,IceFend
complete,Allegory
Callback,Imitator
completeCallback,AllegoryImitator
in,Up
completeCallback_in,AllegoryImitator_in
out,Icy
completeCallback_out,AllegoryImitator_Icy
initialised,Imaginative
fObjectR,fScreenR
startPosition,InferSynapsis
Ob,Be
gOb,gOb
init,Crop
Alpha,Brush
initAlpha,CropBrush
Activ,Drink
isInitActiv,ItWineDrink
curr,Work
currAlpha,WorkBrush
fObjects,fCoconut
parents,Upriver
distance,Cohesion
distanceMax,CohesionSty
Min,But
distanceMin,CohesionBut
flyTime,DotSlit
delay,Sport
destroy,Lengthy
auto,Wear
autoFly,WearAxe
StartEvent,VaultAnvil
EndEvent,VanAnvil
Tragtet,Willful
Speed,Rocky
flyToTragtetSpeed,DotDyWillfulRocky
flyTargetPosW,DotMildlyPotW
flyTimeToTarget,DotSlitDyMildly
flyToTarget,DotDyMildly
description,Information
OpenEvent,YorkAnvil
CloseEvent,DodgeAnvil
open,Thus
Clip,Mine
openClip,ThusMine
play,Till
playOpen,TillYork
closeClip,ClingMine
playClose,TillDodge
inAnim,UpGold
outAnim,IcyGold
inMoveAnim,UpFineGold
outMoveAnim,IcyFineGold
inScaleAnim,UpBladeGold
outScaleAnim,IcyBladeGold
Fade,Bank
inFadeAnim,UpFadeGold
outFadeAnim,IcyBankGold
instantiate,Disseminate
instantiatePosition,DisseminateSynapsis
position,Latitude
Ease,Silt
inEase,UpSilt
outEase,IcySilt
to,To
toPosition,toSynapsis
custom,Derive
customPosition,DeriveSynapsis
useMask,ArmFend
scaleType,ClimbLieu
mGui,mRat
Ups,Ill
popUps,SkyIll
messagePrefab,LanternDismal
caption,Collect
showTime,DullSlit
LoadVolumeEvent,WideMeteorAnvil
LoadMusicVolumeEvent,WideStarkMeteorAnvil
LoadSoundOnEvent,WideMediaOrAnvil
LoadMusicOnEvent,WideStarkOrAnvil
ChangeVolumeEvent,HaliteMeteorAnvil
ChangeMusicVolumeEvent,HaliteStarkMeteorAnvil
Off,She
SoundOnOffEvent,MediaOrSheAnvil
MusicOnOffEvent,StarkOrSheAnvil
onSprite,GoCorpse
off,Pig
offSprite,PigCorpse
onOffText,GoShePity
onText,GoPity
offText,PigPity
isOn,ItOr
gradient,Obsidian
gradientType,ObsidianLieu
_gradientType,_ObsidianLieu
blend,Strip
blendMode,StripSpur
_blendMode,_StripSpur
effect,Shrink
Gradient,Resettle
effectGradient,ShrinkResettle
_effectGradient,_ShrinkResettle
yes,Wax
yesButton,WaxSeaman
noButton,AnSeaman
cancel,Grimly
cancelButton,GrimlySeaman
LoadGroupPrefab,WideSharpDismal
load,Post
loadProgress,PostFeasible
mGUI,mGUI
LoadGroup,WideSharp
Slider,Revise
simpleSlider,MaracaRevise
loading,Carving
async,Chile
asyncLoad,ChileWide
autoLoad,WearWide
autoLoadDelay,WearWideDusty
Scene,Fatal
autoLoadSceneIndex,WearWideFatalMoody
login,Truly
loginText,TrulyPity
connect,Believe
connectString,BelieveCoyote
dis,Ape
Connect,Phoenix
disConnectString,disPhoenixCoyote
fb,By
Photo,Lyric
fbPhoto,ByPhoto
fbName,ByOver
avatarGroup,DigestSharp
defaultPlayerImage,PartnerUntoldReady
LoadFullNameEvent,WidePeckOverAnvil
LoadFirstNameEvent,WideAfterOverAnvil
LoadLastNameEvent,WideHurlOverAnvil
Good,Wild
GoodLoginEvent,GoodStingAnvil
FailedLoginEvent,InsistStingAnvil
Logout,Asleep
LogoutEvent,AsleepAnvil
debug,Would
player,Eyelid
playerID,EyelidID
playerFirstName,EyelidAfterOver
playerLastName,EyelidHurlOver
playerPhoto,EyelidLyric
permissions,Masterpiece
Try,Eat
loginTryCount,TrulyTryPulse
getPlayerInfoTryCount,EndUntoldBustEatPulse
LoginEvent,StingAnvil
LoadPhotoEvent,WideLyricAnvil
LoadTextEvent,WidePityAnvil
clickSound,StuffMedia
b,b
icon,Weft
iconOnOff,WeftOrShe
textOnOff,WellOrShe
buttonSpriteOn,MakeupCorpseOr
buttonSpriteOff,MakeupCorpseShe
iconSpriteOn,WeftCorpseOr
iconSpriteOff,WeftCorpseShe
textOn,WellOr
textOff,WellShe
sound,Buyer
soundOrMusic,BuyerItStark
clip,Gulf
music,Rigor
buttonClick,MakeupThird
openWindow,ThusPurely
closeWindow,ClingPurely
audio,Ocher
Sources,Essence
audioSourcesMaxCount,OcherEssenceStyPulse
Settings,Novelist
saveSettings,SoupNovelist
saveNameSound,SoupOverMedia
saveNameMusic,SoupOverStark
saveNameVolume,SoupOverMeteor
saveNameVolumeMusic,SoupOverMeteorStark
musicSource,RigorFamily
currentMusic,ProduceStark
wff,Via
wfs,Lag
wfs0_1,Lag0_1
tempAudioSources,RoomChafeEssence
musicVolumeTween,RigorMeteorWeigh
ChangeVolumeMusicEvent,HaliteMeteorStarkAnvil
VolumeOnEvent,MeteorOrAnvil
VolumeMusicOnEvent,MeteorStarkOrAnvil
ChangeSoundOnEvent,HaliteMediaOrAnvil
ChangeMusicOnEvent,HaliteStarkOrAnvil
Mult,Barn
musicVolumeMult,RigorMeteorMult
Control,Analogy
useMusicVolumeControl,ArmStarkMeteorAnalogy
startClip,InferMine
volume,Browse
volumeSlider,BrowseRevise
musicSlider,RigorRevise
Touch,Texas
volumeTouchSlider,BrowseTexasRevise
musicVolumeTouchSlider,RigorMeteorTexasRevise
seconds,Derrick
autoRestart,WearSleeper
autoStart,WearVault
dont,Pole
Destroy,Oceania
dontDestroy,PoleOceania
single,Groove
Ton,Man
singleTon,GrooveMan
debugTime,WouldSlit
sT,sT
Seconds,Hatchet
TickPassedFullSecondsEvent,FoilTalbotPeckHatchetAnvil
Rest,Girl
TickRestFullSecondsEvent,FoilGirlPeckHatchetAnvil
Days,Levy
Hour,Deft
Sec,Shy
TickPassedDaysHourMinSecEvent,FoilTalbotLevyDeftButShyAnvil
TickRestDaysHourMinSecEvent,FoilGirlLevyDeftButShyAnvil
TimePassedEvent,SlitTalbotAnvil
lastTime,ZoneSlit
passed,Lovely
passedTime,LovelySlit
Old,Yew
passedTimeOld,LovelySlitOld
pause,Award
firstUpdate,TradeMildly
days,Tusk
hours,Front
minutes,Cheater
rest,Easy
rest_days,Easy_Tusk
rest_hours,Easy_Front
rest_minutes,Easy_Cheater
rest_seconds,Easy_Derrick
restTime,EasySlit
startDT,InferDT
lastDT,ZoneDT
end,Rag
endDT,endDT
currentDT,ProduceDT
endTickSaveKey,RagFoilBondAie
startTickSaveKey,InferFoilBondAie
lastTickSaveKey,ZoneFoilBondAie
Prefix,Marlin
startTickSavePrefix,InferFoilBondMarlin
endTickSavePrefix,RagFoilBondMarlin
lastTickSavePrefix,ZoneFoilBondMarlin
dTimeSec,dSlitShy
TickPassedSecondsEvent,FoilTalbotHatchetAnvil
TickRestSecondsEvent,FoilGirlHatchetAnvil
dlog,Upon
PointerUpObject,VisibleOfScreen
FirstObject,AfterScreen
Can,Oil
CanDrag,OilSlay
MinDragReached,ButSlayRefiner
drag,Year
dragPos,YearPot
pointer,Pronoun
pointerDownPos,PronounMustPot
draggable,Encompass
draggableStartPos,EncompassVaultPot
tPEA,tPEA
follow,Finish
Started,Holding
followStarted,FinishHolding
Direction,Hampshire
dragDirection,YearHampshire
Magnitude,Unwilling
dragMagnitude,YearUnwilling
Path,Gate
dragPathLength,YearGateBaboon
ResetDragEvent,SwearSlayAnvil
Screen,Dollar
ScreenDragEvent,DollarSlayAnvil
ScreenPointerDownEvent,DollarVisibleMustAnvil
ScreenPointerUpEvent,DollarVisibleOfAnvil
only,Spur
onlyTopCollider,onlyTopExchange
hit,Rut
hitList,RutPeak
new,Top
Hit,Boy
newHitList,newHitPeak
tpea,Stag
pointerID,PronounID
oldPosition,ApeSynapsis
Selected,Derisive
firstSelected,TradeDerisive
hits,Wool
touch,Acorn
Delta,Karst
Raw,Die
touchDeltaPosRaw,touchKarstPotDie
priority,Variable
Axe,Pot
priorityAxe,VariableAxe
Dir,Fat
lastDragDir,ZoneSlayFat
wPos,wPot
touchPos,AcornPot
PointerDownEvent,VisibleMustAnvil
DragBeginEvent,SlayRoughAnvil
DragEnterEvent,SlayCivicAnvil
DragExitEvent,SlayPantAnvil
Drop,Foil
DragDropEvent,SlayDropAnvil
PointerUpEvent,VisibleOfAnvil
DragEvent,SlayAnvil
data,Spin
dataIcon,SpinOnce
Sended,Comply
dragBeginSended,YearRoughComply
tweenObjects,CalveCoconut
PI,PI
PId,PNo
PId2,PNo2
length,Breast
free,Stud
Ind,End
freeInd,StudInd
lastID,ZoneID
easeAnim,WickGold
startValue,InferQuery
endValue,RagQuery
dValue,dQuery
currValue,WorkQuery
endPosition,RagSynapsis
dPosition,dSynapsis
currPosition,WorkSynapsis
tweenTime,CalveSlit
currTime,WorkSlit
completeCallBack,AllegoryExpoLash
UpdateCallBack,MildlyExpoLash
UpdateCallBackV,MildlyExpoLashV
UpdateCallBackV3,MildlyExpoLashV3
Func,Cool
EaseFunc,SiltCool
min,Nut
minValue,NutQuery
maxValue,LipQuery
stt,Sun
timeLeft,FallPack
tValue,tQuery
tweenId,CalveNo
maxTweenTime,LipWeighSlit
minTweenTime,NutWeighSlit
onUpdate,GoMildly
g,g
Positive,Movement
onlyPositive,SpurMovement
seq,Roe
seqL,RoeL
call,Cold
callBackL,ColdLashL
fullComplete,CopeGasoline
compl,Truly
complCallBack,complExpoLash
break,Press
Seq,Eke
breakSeq,PressEke
ended,Among
Sq,Ax
tSqL,tAxL
action,Renter
actionFlagImage,RenterThemReady
achievementsPUPrefab,MultiplicityPUDismal
ach,Leg
achImage,LegReady
completeGroup,AllegorySharp
getButton,EndSeaman
achievement,Outstanding
ChangeProgressEvent,HaliteFeasibleAnvil
GetClickAction,HowThirdEndear
Lines,Excel
LinesParent,ExcelWeaver
scrollFlag,ShelveThem
achievementsLines,MultiplicityExcel
rewardGroup,UplandSharp
ApplyRewardEvent,PreenGreeceAnvil
chest,Robin
opened,Healer
Chest,Ranch
openedChest,HealerRanch
closed,Medium
closedChest,MediumRanch
hintLine,AvidWild
shuffle,Fortune
shuffleLine,FortuneWild
Light,Scant
chestLight,RobinScant
buttonCollect,MakeupMislead
buttonCollect2,MakeupMislead2
autoOpen,WearYork
move,Fern
color,Cider
colorTweenID,CiderWeighID
OpenChestEvent,YorkRanchAnvil
playerName,EyelidOver
avatarImage,DigestReady
change,Mother
changeButton,MotherSeaman
buttonImage,MakeupReady
checkedSprite,DrasticCorpse
icons,Stage
iconsParent,StageWeaver
iconPrefab,WeftDismal
index,Rough
iconsCount,StagePulse
defaultSprite,PartnerCorpse
slide,Valve
MessageText,OutdoorPity
fullCount,CopePulse
right,Rural
leftSize,GushSalt
minPointerAmount,NutVisibleActive
maxPointerAmount,LipVisibleActive
rt,On
rtL,rtL
rtR,OnR
fillAmount,GulfActive
Changed,Invader
OnValueChanged,OrQueryInvader
fillImage,GulfReady
navi,Wing
SetCurrentEvent,OldPrecedeAnvil
slides,Weekly
Slide,Gamma
useSlideWidth,ArmGammaMedia
autoScroll,WearUnseen
changeTime,MotherSlit
easeSlide,WickGamma
moving,Openly
n,n
MainGrid,BookSoda
BackGround,LashAbsorb
MSound,MMedia
MGui,MRat
GCSet,GCOld
LCSet,LCOld
GOSet,GOOld
MGLevel,MGDelta
Hihglight,Heartbeat
IsHihglightFreeMode,IDHeartbeatBoldSpur
Preload,Develop
LastPreloadTotalTime,HurlDevelopAriseSlit
Creation,Acquaint
LastGridCreationTime,HurlSodaAcquaintSlit
Assignment,Laboratory
LastSpriteAssignmentTime,HurlCorpseLaboratorySlit
LastPreloadLevel,HurlDevelopDelta
LastTileCount,HurlTrimPulse
ApplyShuffleAction,PreenSeminarEndear
ApplyHintAction,PreenPackEndear
UndoAction,LashEndear
RestartAction,SleeperEndear
WinLevelAction,FanDeltaEndear
Break,Exalt
BreakLevelAction,ExaltDeltaEndear
LevelLoadCompleteAction,DeltaWideGasolineEndear
MatchSpritesEvent,EliteBroadlyAnvil
Tip,Few
ShowTipAction,KnotTipEndear
Manual,Patrol
ShowTipManualAction,KnotFewPatrolEndear
Hide,Beef
HideTipAction,BeefFewEndear
Closed,Insect
CashOutPanelClosedAction,FareItsDwarfInsectEndear
TutorialGuideStartedAction,SeparatePriceHoldingEndear
Ended,Ember
TutorialGuideEndedAction,SeparatePriceEmberEndear
Paar,Look
IsGoodPaar,IDWildPaar
BaseMatchScore,RealEliteRoute
MahjongTile,AngularTrim
Front,Empty
MahjongTileToFront,AngularTrimDyFront
NeedCount,BusyPulse
Curr,Aide
CurrCount,AidePulse
TouchM,TexasM
MBoard,MSyrup
GetCurrentPairIndex,HowPrecedeTautMoody
Volmue,Likely
EffectVolmue,EncodeLikely
Frames,Salary
Ignore,Africa
IgnoreTimeScale,AfricaSlitBlade
Loop,Ibex
currentCount,ProducePulse
_currentCount,_ProducePulse
currentRevenue,ProduceReality
_currentRevenue,_ProduceReality
lastPlayTimeCounter,ZoneDeadSlitDecease
counter,Stencil
counter101,Stencil101
counter102,Stencil102
counter103,Stencil103
pauseTimeInterstitial,AwardSlitIncreasingly
Package,Demerit
PackageName,DemeritOver
Request,Utterly
RequestId,UtterlyNo
Headers,Elegant
OnSuccess,OrSoloist
OnFail,OrGrip
Retry,Prior
RetryCount,PriorPulse
Timeout,Observe
Running,Exhaust
IsRunning,IDExhaust
Web,Why
WebRequest,WhyUtterly
RawData,DieSoul
GetNetWorkGetListCount,HowCryCyanHowPeakPulse
GetNetWorkPostListCount,HowCryCyanSpitPeakPulse
SaveStageName,BondValidOver
SaveCountName,BondPulseOver
SaveRewardReceivedName,BondGreeceObligateOver
TargetAchieved,MildlyConsider
RewardPUPrefab,GreecePUDismal
TargetCount,MildlyPulse
CurrentCount,PrecedePulse
CurrentStage,PrecedeValid
RewardReceived,GreeceObligate
HaveTargetAchieved,RollMildlyConsider
MGrid,MSoda
Column,Solder
GColumn,GSolder
Row,Far
GRow,GFar
Rows,Rite
Neighbors,Practical
Render,Typify
AddRenderOrder,BatTypifyEmpty
RenderRow,TypifyFar
ParentCell,WeaverLime
Excluded,Outskirt
MSprite,MCorpse
Cols,Kick
OccupiedCols,NationalKick
OccupiedRows,NationalRite
Columns,Prosper
Lc,Of
LcSet,LcOld
Main_1,Book_1
Main_2,Book_2
Main_3,Book_3
Main_4,Book_4
Left_1,Pack_1
Left_2,Pack_2
Right_1,Bloom_1
Right_2,Bloom_2
Top_1,Top_1
Top_2,Top_2
Bottom,Porous
Bottom_1,Porous_1
Bottom_2,Porous_2
MTouch,MTexas
LevelCount,DeltaPulse
BackGroundsCount,LashConnectPulse
ObjectsList,CoconutPeak
LevelWinStoryPage,DeltaFanWidenNorm
LevelStartStoryPage,DeltaVaultWidenNorm
VertSize,HomoSalt
HorSize,BowSalt
Dist,Coma
DistX,ComaX
DistY,ComaY
GConstructor,GUnreachable
MScore,MRoute
Avatar,Credit
AvatarIndex,CreditMoody
MCoins,MGland
DefaultCount,LawlikePulse
TopPassedLevel,TopTalbotDelta
CurrentLevel,PrecedeDelta
ThemeIndex,ReactMoody
MHints,MElect
FullName,PeckOver
Average,Unclear
AverageScore,UnclearRoute
Store,Brook
LevelsScoreStore,ValleyRouteBrook
MShuffles,MUsefully
Density,Harvard
DensityDPI,HarvardDPI
Pixels,Motive
HeightPixels,WeldonMotive
WidthPixels,MediaMotive
Scaled,Clutch
ScaledDensity,ClutchHarvard
XDPI,XDPI
YDPI,YDPI
Pressed,Dispute
Sorting,Florist
SortingLayerID,FloristAgainID
SortingOrder,FloristEmpty
DataCount,SoulPulse
LineHeight,WildWeldon
HasNoPopUp,StyDyLotOf
IsActive,IDInjure
Visible,Several
IsVisible,IDSeveral
IsOn,IDOr
Blend,Truth
BlendMode,BlendSpur
EffectGradient,EncodeResettle
GradientType,ResettleLieu
Answer,Syntax
MGUI,MGUI
SL,SL
FB,FB
Session,Estuary
Logined,Portend
LastSessionLogined,HurlEstuaryLogined
IsLogined,IDPortend
SoundOn,MediaOr
MusicOn,StarkOr
VolumeMusic,MeteorStark
IsTimePassed,IDSlitTalbot
InitTime,WineSlit
ScreenDragDirection,DollarSlayHampshire
World,Kneel
WorldTouchPos,KneelTexasPot
ScreenTouchPos,DollarTexasPot
Touched,Exhibit
IsTouched,IDExhibit
CameraMain,RefugeBook
Prior,Flash
PriorAxe,FlashPot
DragDirection,SlayHampshire
LastDragDirection,HurlSlayHampshire
WorldPos,KneelPot
IsFree,IDBold
Cycled,Damper
IsCycled,IDDamper
IsComplete,IDGasoline
AC,AC
FillAmount,BrimActive
SlideRT,GammaRT
Prev,Wary
Anchored,Tranquil
AnchoredPosition,TranquilSynapsis
FlyPlay,AxeDead
FlyPause,AxeEndow
Kill,Ring
FlyKill,AxeRing
GetReward,HowGreece
Gun,Cup
Tune,Blue
GunTuneReason,CupBlueLatest
LeftFly,PackAxe
Rigth,Onset
RigthFly,OnsetAxe
LoopFly,IbexAxe
DestroyFlyItem,OceaniaAxeHigh
PopShow,LotKnot
PopHide,LotBeef
ChangeNumber,HaliteGallop
GoldMoveBest,HallFinePeak
HorizontalScroll,ReportedlyUnseen
Print,Dusty
Merge,Exert
getCameraWidth,EndRefugeMedia
getCameraHeight,EndRefugeWeldon
getWorldPoint,EndKneelNaked
Nearest,Erectus
GetNearestGameObject,HowErectusLullScreen
Angle,Timid
PointToAngle,NakedDyTimid
Angle180To360,Timid180Dy360
GetUnityDirection,HowOasisHampshire
Texture,Mimetic
True,Husk
getTextureTrueSize,EndMimeticHuskSalt
getSpriteSize,EndCorpseSalt
getTouchPosition,EndTexasSynapsis
Weight,Debtor
getWeightIndex,EndDebtorMoody
Random,Unused
Sequence,Junction
GetRandomSequence,HowUnusedJunction
Dictionary,Accumulate
StringToDictionary,CoyoteDyAccumulate
DictionaryToString,AccumulateDyCoyote
Diff,Coin
DayDateDiff,EyeTautCoin
SecDateDiff,ShyTautCoin
DateDiff,TautCoin
At,Me
GetPosAtText,HowPotMePity
Distance,Rhyolite
By,Up
Area,Roam
DistanceByArea,RhyoliteByRoam
Encrypt,Reliant
EncryptDES,ReliantDES
Decrypt,Ability
DecryptDES,AbilityDES
Notification,Conservative
Permission,Subsurface
RequestNotificationPermission,UtterlyConservativeSubsurface
Initialize,Immobilize
Notifications,Communicative
InitializeNotifications,InitializeCommunicative
ClearNotification,CedarConservative
Create,Liable
CreateNotificationChannel,LiableConservativeConifer
Send,Hero
Immediate,Programme
SendImmediateNotification,HeroProgrammeConservative
Schedule,Unwieldy
ScheduleNotification,UnwieldyConservative
RestartLevel,SleeperDelta
CreateGameBoard,LiableLullSyrup
With,West
RestartLevelWithRestartData,SleeperDeltaWestSleeperSoul
ApplyRestartDataSpriteAssignments,PreenSleeperSoulCorpseUnfavorably
RestartLevelOriginal,SleeperDeltaDecrease
TestCallback,CultImitator
DestroyGrid,OceaniaSoda
ShuffleGrid,SeminarSoda
SetControlActivity,OldAnalogyCivility
GetPossibleMatchesCount,HowDiffusesDialectPulse
Being,Gourd
Processed,Woodblock
IsTileBeingProcessed,IDTrimGourdWoodblock
CollectMatch,MisleadElite
All,Joy
AutoCollectAllCoroutine,LoftMisleadJoyIntroduce
CollectMatchC,MisleadEliteC
CollectAnimationC,MisleadCertaintyC
UpdatePossibleMatches,MildlyDiffusesDialect
Instantiate,Forgiveness
InstantiateScoreFlyer,ForgivenessRouteArgon
Fast,That
FastCollect,ThatMislead
ContinuousCollect,PercentageMislead
Process,Isolate
ProcessMatchQueue,IsolateEliteRoman
Threshold,Therefore
GetAutoCollectThreshold,HowLoftMisleadTherefore
TryAutoCollect,EatLoftMislead
ChangeGold,HaliteHall
TrySelectHintMatch,EatElevenPackElite
IsAlreadyHint,IDFoundryPack
Remove,Puddle
RemoveHint,PuddlePack
Existing,Maximize
CheckExistingHint,BrandMaximizePack
Raise,Taint
Events,Guinea
RaiseUndoEvents,TaintLashGuinea
SetHiglightFreeMode,OldMilkweedBoldSpur
Highlight,Developer
LoadHighlightMode,WideDeveloperSpur
Highliht,Allegory
HighlihtFree,HighlihtBold
BreakLevelEventRaise,ExaltDeltaAnvilTaint
FailedMatchEventRaise,InsistEliteAnvilTaint
DelayHighlightFreeWithLog,DustyDeveloperBoldWestSee
TryGoldRewardOnCombo,EatHallGreeceOrParty
InitializePreloadContainer,ImmobilizeDevelopGrievance
Delayed,Improve
DelayedStartPreload,ImproveVaultDevelop
StartPreloadNextLevel,VaultDevelopRageDelta
PreloadNextLevelCoroutine,DevelopRageDeltaIntroduce
Split,Lvory
CreateGridWithFrameSplit,LiableSodaWestDiverLvory
Precalculate,Hydrodynamic
Optimized,Immersion
PrecalculateSpriteAssignmentsOptimized,HydrodynamicCorpseUnfavorablyImmersion
Preloaded,Stability
ApplyPreloadedSpriteAssignments,PreenStabilityCorpseUnfavorably
Copy,Mild
For,Lie
CopyPreloadedDataForRestart,MildStabilitySoulLieSleeper
Cleanup,Surgeon
CleanupRestartData,SurgeonSleeperSoul
CleanupPreloadedData,SurgeonStabilitySoul
Performance,Residential
TestPreloadPerformance,CultDevelopResidential
